transaction_id,customer_id,amount,payment_method,failure_reason,customer_lifetime_value,successful_payments,failed_payments,previous_recovery_rate,hour_of_day,days_since_last_payment,subscription_status,checkout_abandoned,retry_count,recovered,recovery_probability,expected_recovery,priority
TXN_3616,CUST_2553,48453.75,Card,network_error,154910.22,15,2,0.24,16,4,active,1,1,1,0.9176256145895627,44462.402122919026,HIGH
TXN_2962,CUST_2639,49103.8,Wallet,network_error,13543.7,7,1,0.9,5,84,active,0,2,1,0.9005530746308154,44220.57806605663,HIGH
TXN_2125,CUST_1027,49714.97,Card,network_error,111567.81,20,4,0.17,16,13,active,1,1,1,0.8877388287530374,44133.90923929239,HIGH
TXN_4052,CUST_2861,49759.59,UPI,bank_declined,16043.58,27,0,0.94,17,62,not_applicable,0,2,1,0.8806333115609871,43819.95252361698,HIGH
TXN_645,CUST_1632,48951.16,Card,network_error,121095.13,29,2,0.36,20,72,active,1,0,1,0.8873864067435897,43438.593978330544,HIGH
TXN_9552,CUST_1258,45950.92,UPI,network_error,3113.23,15,4,0.99,16,49,active,0,2,1,0.9444022794532914,43396.15359097583,HIGH
TXN_1227,CUST_2917,46310.37,NetBanking,network_error,33177.22,15,3,0.97,1,27,active,1,2,1,0.9359564175784263,43344.48800193143,HIGH
TXN_5722,CUST_2717,49842.05,Card,network_error,156029.93,23,2,0.61,19,84,active,1,1,1,0.8684126216384093,43283.46530833268,HIGH
TXN_7948,CUST_2393,49439.23,Card,network_error,32216.4,28,2,0.72,11,82,inactive,0,2,1,0.8659182433868619,42810.331195999046,HIGH
TXN_3489,CUST_2923,48542.47,UPI,insufficient_funds,157633.13,25,2,0.96,21,16,active,0,0,1,0.8803960729451026,42736.59995905546,HIGH
TXN_784,CUST_1178,46642.25,UPI,network_error,109306.54,28,2,0.2,9,9,active,0,2,1,0.9156419009308155,42707.598453690334,HIGH
TXN_8960,CUST_2606,45662.19,Card,network_error,22319.16,21,3,0.74,4,2,active,1,2,1,0.9335339713486875,42627.20557117833,HIGH
TXN_7509,CUST_2900,48570.5,Wallet,insufficient_funds,126847.06,25,2,0.99,15,89,active,0,2,1,0.876781763570565,42585.728647504126,HIGH
TXN_9717,CUST_2795,46762.3,NetBanking,network_error,170997.1,19,3,0.97,22,79,not_applicable,1,1,1,0.909702967112361,42539.80305899836,HIGH
TXN_1762,CUST_1621,46639.14,Wallet,network_error,77228.7,23,2,0.73,3,6,inactive,0,1,1,0.9118724097058769,42528.94497840975,HIGH
TXN_7781,CUST_1044,47642.71,Card,network_error,153247.42,15,4,0.99,1,4,not_applicable,0,2,1,0.8917357326021826,42484.70690500333,HIGH
TXN_5212,CUST_1036,47714.12,Wallet,network_error,188165.61,22,2,0.81,19,48,not_applicable,1,2,1,0.8877182931373914,42356.69716495267,HIGH
TXN_8094,CUST_2100,49365.22,Wallet,network_error,126000.65,5,2,0.93,15,12,not_applicable,0,0,1,0.8580022103792738,42355.46787585914,HIGH
TXN_7378,CUST_2517,49522.54,Wallet,insufficient_funds,126597.51,25,4,0.79,11,24,not_applicable,0,0,1,0.8502186270488604,42104.98596677227,HIGH
TXN_3286,CUST_2649,47657.02,Wallet,network_error,57083.31,24,1,0.38,21,38,active,0,2,1,0.8828138315822582,42072.27642799231,HIGH
TXN_4812,CUST_2772,49733.25,UPI,bank_declined,199217.32,25,1,0.86,22,86,inactive,1,3,1,0.8453933366358508,42044.15815924493,HIGH
TXN_2357,CUST_1051,47459.07,Card,network_error,155660.0,27,2,0.29,23,16,active,1,1,1,0.8855331872528086,42026.58152115415,HIGH
TXN_660,CUST_2127,48305.77,Wallet,insufficient_funds,152446.52,24,2,0.95,10,72,not_applicable,0,1,1,0.8698495697915718,42018.75325295061,HIGH
TXN_6183,CUST_1114,47966.01,UPI,network_error,36349.61,24,6,0.53,20,27,active,0,1,1,0.8733720340212738,41892.171717584766,HIGH
TXN_3351,CUST_2600,49404.59,Wallet,network_error,132108.11,27,3,0.37,15,43,inactive,0,1,1,0.8454339334171523,41768.31685256171,HIGH
TXN_6498,CUST_2259,49431.65,NetBanking,bank_declined,14242.02,24,1,0.84,6,79,not_applicable,1,0,1,0.8443045412457891,41735.36657627241,HIGH
TXN_3102,CUST_2209,49935.05,Card,network_error,15270.39,12,3,0.04,15,0,inactive,0,1,1,0.8347796416778557,41684.76314616581,HIGH
TXN_2526,CUST_1890,48607.59,Card,bank_declined,123893.91,21,1,0.98,10,23,active,1,2,1,0.8533856192461533,41481.01829221313,HIGH
TXN_6779,CUST_2560,49767.58,NetBanking,authentication_failed,134208.83,30,6,0.93,17,19,active,1,1,1,0.8334310550954691,41477.84670894817,HIGH
TXN_3593,CUST_1039,48107.56,NetBanking,bank_declined,156147.24,27,3,0.87,23,85,not_applicable,0,2,1,0.8612882391868507,41434.47564397577,HIGH
TXN_4927,CUST_2289,48894.57,NetBanking,network_error,85941.44,28,6,0.39,6,2,active,1,1,1,0.8467753861569847,41402.718392729716,HIGH
TXN_1808,CUST_1494,47376.66,NetBanking,network_error,85248.25,24,1,0.01,13,76,active,1,0,1,0.8727479634904037,41347.88353197728,HIGH
TXN_6041,CUST_2983,49875.53,Card,insufficient_funds,195738.96,0,1,0.78,15,25,active,1,0,1,0.8265304913198804,41223.64631573943,HIGH
TXN_5912,CUST_2077,49421.39,Card,insufficient_funds,134351.25,26,3,0.76,19,45,not_applicable,0,0,1,0.8334417811900439,41189.85131048782,HIGH
TXN_2696,CUST_1866,47956.3,Card,insufficient_funds,100978.16,24,4,0.92,5,78,not_applicable,1,0,1,0.8567374650102044,41085.95889326887,HIGH
TXN_551,CUST_1177,48842.34,NetBanking,network_error,23033.4,11,6,0.42,12,75,active,0,0,1,0.8389422929687744,40975.904713560485,HIGH
TXN_2195,CUST_2054,48687.24,NetBanking,bank_declined,46897.09,11,0,0.77,12,62,active,0,0,1,0.8387393253777895,40835.90283210653,HIGH
