transaction_id,customer_id,amount,payment_method,failure_reason,customer_lifetime_value,successful_payments,failed_payments,previous_recovery_rate,hour_of_day,days_since_last_payment,subscription_status,checkout_abandoned,retry_count,recovered
TXN_1,CUST_2309,18789.55,UPI,insufficient_funds,190192.15,23,4,0.73,7,28,active,0,4,1
TXN_2,CUST_1178,7885.33,Wallet,insufficient_funds,32042.91,0,1,0.06,6,29,not_applicable,0,4,1
TXN_3,CUST_1407,30095.64,Wallet,card_expired,141906.44,14,4,0.02,0,20,not_applicable,1,2,0
TXN_4,CUST_1569,41638.89,Card,card_expired,43255.48,30,5,0.18,3,11,inactive,0,2,0
TXN_5,CUST_2735,15281.69,NetBanking,authentication_failed,105426.53,8,0,0.43,23,58,not_applicable,0,3,0
TXN_6,CUST_1161,30631.46,NetBanking,customer_abandoned,28759.28,19,5,0.29,18,24,not_applicable,0,0,0
TXN_7,CUST_2354,22857.89,Card,bank_declined,157250.02,2,3,0.2,3,48,inactive,1,2,0
TXN_8,CUST_1333,29661.49,NetBanking,bank_declined,10243.63,6,4,0.61,22,87,not_applicable,0,4,0
TXN_9,CUST_2300,3346.07,Card,authentication_failed,189828.22,23,3,0.97,5,59,inactive,1,4,1
TXN_10,CUST_1449,15300.23,NetBanking,insufficient_funds,20436.75,7,0,0.68,10,51,inactive,0,1,0
TXN_11,CUST_2870,6189.71,NetBanking,card_expired,99540.21,20,7,0.03,12,82,inactive,0,2,1
TXN_12,CUST_1285,13013.12,Card,customer_abandoned,132841.93,17,8,0.31,8,74,inactive,1,2,0
TXN_13,CUST_1449,27380.84,Card,authentication_failed,37786.04,15,1,0.97,1,14,active,0,3,0
TXN_14,CUST_2221,46981.0,UPI,network_error,179070.64,12,7,0.6,16,32,not_applicable,0,0,0
TXN_15,CUST_2396,4515.78,NetBanking,customer_abandoned,40000.59,10,1,0.05,9,55,active,1,0,1
TXN_16,CUST_2953,19495.0,NetBanking,authentication_failed,54998.46,24,2,0.83,16,13,not_applicable,1,4,0
TXN_17,CUST_2247,14118.63,Card,card_expired,108996.52,11,2,0.14,17,67,active,1,3,1
TXN_18,CUST_1039,3820.08,UPI,bank_declined,197390.5,28,4,0.77,7,7,active,0,0,1
TXN_19,CUST_2498,375.55,Wallet,insufficient_funds,163276.82,24,8,0.71,4,16,not_applicable,1,4,1
TXN_20,CUST_1338,38586.39,NetBanking,authentication_failed,15734.89,27,6,0.36,6,69,not_applicable,0,2,0
TXN_21,CUST_1817,43168.86,NetBanking,network_error,125036.33,28,8,0.33,14,15,active,0,0,1
TXN_22,CUST_1692,15618.02,UPI,authentication_failed,65711.48,17,3,0.73,18,28,active,0,0,1
TXN_23,CUST_1468,44371.92,UPI,insufficient_funds,94970.77,27,5,0.12,2,65,active,1,3,1
TXN_24,CUST_1438,38063.17,Card,customer_abandoned,112694.16,29,7,0.77,7,60,inactive,0,0,1
TXN_25,CUST_1198,26184.37,Wallet,bank_declined,86080.66,13,6,0.03,14,6,not_applicable,0,0,0
TXN_26,CUST_1824,1668.32,NetBanking,insufficient_funds,127645.67,7,3,0.31,6,68,inactive,0,3,0
TXN_27,CUST_1375,45387.57,NetBanking,network_error,50609.15,7,1,0.41,14,70,active,0,4,1
TXN_28,CUST_2712,11517.03,UPI,insufficient_funds,16319.0,29,3,0.29,5,52,inactive,1,1,1
TXN_29,CUST_2770,46491.91,Wallet,insufficient_funds,161815.96,5,6,0.63,0,49,inactive,1,2,1
TXN_30,CUST_1866,40203.24,Wallet,card_expired,38127.44,6,4,0.89,6,7,not_applicable,0,2,1
TXN_31,CUST_1117,40391.26,UPI,authentication_failed,179322.17,15,8,0.32,16,20,active,0,1,0
TXN_32,CUST_1140,11473.96,UPI,customer_abandoned,85994.45,27,3,0.82,12,15,not_applicable,0,4,1
TXN_33,CUST_2217,446.91,UPI,authentication_failed,102638.71,2,6,0.42,21,74,not_applicable,1,2,0
TXN_34,CUST_1418,6081.28,NetBanking,card_expired,68185.42,8,6,0.94,4,85,not_applicable,1,3,0
TXN_35,CUST_1647,25987.65,UPI,insufficient_funds,140900.77,14,1,0.36,2,68,active,1,1,0
TXN_36,CUST_2911,48126.12,NetBanking,insufficient_funds,51104.68,28,3,0.5,11,36,active,1,4,1
TXN_37,CUST_2440,14313.54,NetBanking,authentication_failed,8340.5,25,8,0.61,0,85,not_applicable,1,0,0
TXN_38,CUST_2922,2668.79,Card,bank_declined,56450.65,3,1,0.91,23,70,active,1,2,1
TXN_39,CUST_2238,7330.25,Card,customer_abandoned,98401.1,10,3,0.99,21,81,inactive,1,2,1
TXN_40,CUST_2854,33639.56,UPI,insufficient_funds,152562.3,20,6,0.24,8,5,active,1,1,0
TXN_41,CUST_2304,18452.38,NetBanking,card_expired,126828.86,23,7,0.63,17,90,inactive,0,0,0
TXN_42,CUST_1154,4605.46,Card,authentication_failed,167225.2,1,5,0.32,18,70,active,1,1,0
TXN_43,CUST_1085,2134.68,NetBanking,bank_declined,118587.7,28,0,0.68,11,26,not_applicable,0,0,1
TXN_44,CUST_1724,25653.44,Wallet,authentication_failed,46072.66,23,2,0.65,7,20,active,1,0,1
TXN_45,CUST_1367,34577.79,NetBanking,network_error,77960.33,25,3,0.94,8,20,not_applicable,0,3,1
TXN_46,CUST_2786,17119.21,UPI,network_error,23581.23,7,3,0.92,14,44,inactive,0,1,0
TXN_47,CUST_1048,12971.29,Card,network_error,132336.83,10,4,0.82,2,35,inactive,1,4,1
TXN_48,CUST_1678,26529.56,UPI,insufficient_funds,49128.61,28,4,0.09,5,74,inactive,0,0,0
TXN_49,CUST_2221,45030.86,Wallet,bank_declined,126987.19,23,5,0.34,13,77,not_applicable,0,3,0
TXN_50,CUST_2842,36325.19,Card,bank_declined,179524.94,1,6,0.89,0,66,not_applicable,0,2,1
TXN_51,CUST_1883,32137.38,UPI,customer_abandoned,17743.85,29,5,0.16,19,40,not_applicable,0,2,1
TXN_52,CUST_2038,30360.81,NetBanking,customer_abandoned,2830.21,13,5,0.1,12,89,inactive,0,1,1
TXN_53,CUST_1861,352.57,Wallet,customer_abandoned,33000.8,23,2,0.55,19,72,inactive,1,4,1
TXN_54,CUST_2707,32632.87,UPI,bank_declined,45629.59,9,3,0.71,13,74,not_applicable,1,3,0
TXN_55,CUST_1904,16337.44,Wallet,customer_abandoned,149551.79,6,8,0.65,15,21,not_applicable,0,2,1
TXN_56,CUST_2055,32914.88,NetBanking,insufficient_funds,114093.41,26,3,0.09,21,39,active,0,1,1
TXN_57,CUST_1050,13333.6,UPI,card_expired,49553.94,15,1,0.97,14,53,not_applicable,0,3,0
TXN_58,CUST_2012,44613.12,Wallet,card_expired,126596.59,4,0,0.79,3,54,active,0,4,0
TXN_59,CUST_1951,28887.5,UPI,authentication_failed,99011.02,7,1,0.2,14,17,inactive,1,3,0
TXN_60,CUST_2254,14110.54,Wallet,authentication_failed,5838.88,14,2,0.65,23,60,inactive,1,1,0
TXN_61,CUST_2720,47028.88,NetBanking,authentication_failed,190831.79,15,3,0.91,8,56,active,1,1,1
