transaction_id,amount,recovery_probability,expected_recovery,priority,strategy,reason
TXN_3616,48453.75,0.9176256145895627,44462.402122919026,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_2962,49103.8,0.9005530746308154,44220.57806605663,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_2125,49714.97,0.8877388287530374,44133.90923929239,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_4052,49759.59,0.8806333115609871,43819.95252361698,HIGH,RETRY_PAYMENT,High recovery probability
TXN_645,48951.16,0.8873864067435897,43438.593978330544,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_9552,45950.92,0.9444022794532914,43396.15359097583,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_1227,46310.37,0.9359564175784263,43344.48800193143,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_5722,49842.05,0.8684126216384093,43283.46530833268,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_7948,49439.23,0.8659182433868619,42810.331195999046,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_3489,48542.47,0.8803960729451026,42736.59995905546,HIGH,SEND_PAYMENT_LINK,Active subscription with reasonable recovery probability
TXN_784,46642.25,0.9156419009308155,42707.598453690334,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_8960,45662.19,0.9335339713486875,42627.20557117833,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_7509,48570.5,0.876781763570565,42585.728647504126,HIGH,SEND_PAYMENT_LINK,Active subscription with reasonable recovery probability
TXN_9717,46762.3,0.909702967112361,42539.80305899836,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_1762,46639.14,0.9118724097058769,42528.94497840975,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_7781,47642.71,0.8917357326021826,42484.70690500333,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_5212,47714.12,0.8877182931373914,42356.69716495267,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_8094,49365.22,0.8580022103792738,42355.46787585914,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_7378,49522.54,0.8502186270488604,42104.98596677227,HIGH,RETRY_PAYMENT,High recovery probability
TXN_3286,47657.02,0.8828138315822582,42072.27642799231,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_4812,49733.25,0.8453933366358508,42044.15815924493,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_2357,47459.07,0.8855331872528086,42026.58152115415,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_660,48305.77,0.8698495697915718,42018.75325295061,HIGH,RETRY_PAYMENT,High recovery probability
TXN_6183,47966.01,0.8733720340212738,41892.171717584766,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_3351,49404.59,0.8454339334171523,41768.31685256171,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_6498,49431.65,0.8443045412457891,41735.36657627241,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_3102,49935.05,0.8347796416778557,41684.76314616581,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_2526,48607.59,0.8533856192461533,41481.01829221313,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_6779,49767.58,0.8334310550954691,41477.84670894817,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_3593,48107.56,0.8612882391868507,41434.47564397577,HIGH,RETRY_PAYMENT,High recovery probability
TXN_4927,48894.57,0.8467753861569847,41402.718392729716,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_1808,47376.66,0.8727479634904037,41347.88353197728,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_6041,49875.53,0.8265304913198804,41223.64631573943,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_5912,49421.39,0.8334417811900439,41189.85131048782,HIGH,RETRY_PAYMENT,High recovery probability
TXN_2696,47956.3,0.8567374650102044,41085.95889326887,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_551,48842.34,0.8389422929687744,40975.904713560485,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_2195,48687.24,0.8387393253777895,40835.90283210653,HIGH,SEND_PAYMENT_LINK,Active subscription with reasonable recovery probability
TXN_4019,48237.81,0.8464813481747878,40832.40644179926,HIGH,SEND_PAYMENT_LINK,Active subscription with reasonable recovery probability
TXN_7532,43036.49,0.9420384337980241,40542.02763576432,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_5247,45660.35,0.8878083089999091,40537.638121844,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_8483,48068.67,0.8427075508159622,40507.83116668071,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_9094,49447.11,0.8187506379151545,40484.85285556081,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_7233,46678.49,0.8671369756200229,40476.64464510948,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_2263,47660.92,0.8477625337814508,40405.142301555024,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_5813,45442.22,0.8881946578673332,40361.53704563209,HIGH,ESCALATE,Maximum retry threshold reached
TXN_2922,47385.36,0.8516723766736303,40356.80217073557,HIGH,RETRY_PAYMENT,High recovery probability with retryable failure
TXN_1724,46507.27,0.8658224625352123,40267.03903719,HIGH,SEND_PAYMENT_LINK,Customer abandoned checkout
TXN_8727,49760.72,0.8069391195466169,40153.87158480573,HIGH,SEND_PAYMENT_LINK,Active subscription with reasonable recovery probability
